Boundary conditions
n		SigmaRa	     SigmaRb	rouw2	tau
rpm		kgf/cm^2       kgf/cm^2	
7500		0		1148		3.2371	500
Points
21
r		h		T
cm		cm		C
7.67		7.10		450
8.05		8.45		452.6
8.75		8.88		457.3
9.45		8.88		462.0
10.9		8.40		471.7
12.0		6.38		479.1
13.8		3.82		491.2
15.2		2.51		500.7
17.9		2.31		518.8
19.4		3.34		528.9
19.6		3.34		530.3
21.0		3.34		539.7
21.25	3.0		541.356
22.0		2.20		546.4
26.27	1.85		575.1
30.5		1.6		603.6
34.8		1.34		632.5
34.9		1.22		633.2
35.7		1.5		638
36.7		2.28		645.3
37.4		2.35		650
